date,cost
2017-01-06,2.000032428712628e-05
2017-01-13,3.771867826852092e-05
2017-01-20,1.5544942041308397e-05
2017-01-27,2.9625766720090636e-06
2017-02-03,2.0230080156077304e-06
2017-02-10,2.220396314790675e-05
2017-02-17,3.284055519363561e-06
2017-02-24,3.0500859233654957e-06
2017-03-03,2.0001536538264535e-05
2017-03-10,5.850694770358609e-07
2017-03-17,1.9992862917211506e-05
2017-03-24,8.58546462709078e-07
2017-03-31,5.28953330533283e-07
2017-04-07,3.5710048762659587e-06
2017-04-21,2.3101672017658604e-06
2017-04-28,1.1700255952545266e-08
2017-05-05,9.616355634803615e-07
2017-05-12,3.9998613186161534e-05
2017-05-19,2.976122060873795e-06
2017-05-26,2.3481827818977025e-07
2017-06-02,1.6091210756327133e-05
2017-06-09,3.4350328492551333e-06
2017-06-16,6.212358335858809e-08
2017-06-23,9.796159601945997e-07
2017-06-30,2.0615760567402168e-05
2017-07-07,2.0153563502688286e-05
2017-07-14,3.313303133713419e-07
2017-07-21,4.543512748263672e-06
2017-07-28,1.4137056383837528e-06
2017-08-04,1.7509075218998058e-06
2017-08-11,6.364781338144957e-07
2017-08-18,2.628137348887526e-07
2017-08-25,4.010774735377871e-05
2017-09-01,2.069149030479926e-05
2017-09-08,1.99875236848679e-05
2017-09-15,1.772175885961158e-06
2017-09-22,6.351508358488769e-06
2017-09-29,2.7559772234131768e-06
2017-10-06,2.2759161099670766e-06
2017-10-13,1.539882962315818e-05
2017-10-20,4.000621562323953e-05
2017-10-27,6.78307391612176e-05
2017-11-03,3.094506810902605e-06
2017-11-10,9.38094306325755e-06
2017-11-17,1.5535101030987566e-06
2017-11-24,7.53441535347117e-07
2017-12-01,2.0018656339064228e-05
2017-12-08,3.752039424586212e-05
2017-12-15,1.717902799039697e-05
2017-12-22,2.6622162175914848e-06
2017-12-29,4.2876998820097895e-08
2018-01-05,2.2380413964094238e-05
2018-01-12,3.4813145986402974e-06
2018-01-19,5.276727763905467e-06
2018-01-26,6.900296913222712e-05
2018-02-02,3.1917699057823124e-07
2018-02-09,3.5080221723988975e-06
2018-02-16,4.353745196105313e-05
2018-02-23,1.4865662005982743e-06
2018-03-02,1.1046964763226489e-05
2018-03-09,3.319507440809829e-06
2018-03-16,4.4670697106816205e-05
2018-03-23,1.4385202653536847e-05
2018-04-06,1.3643146517244219e-05
2018-04-13,4.121752839485115e-06
2018-04-20,1.4089289848710875e-06
2018-04-27,3.5905690150322466e-05
2018-05-04,4.019951936193692e-05
2018-05-11,2.3208048189147394e-05
2018-05-18,7.587098879551415e-07
2018-05-25,3.2139733914067586e-05
2018-06-01,1.0410627393368276e-06
2018-06-08,2.6067912940261946e-06
2018-06-15,1.932229964621642e-07
2018-06-22,7.392856596759153e-07
2018-06-29,8.273580046555379e-06
2018-07-06,2.739757115772647e-07
2018-07-13,1.1533246315465327e-06
2018-07-20,2.4660824307751156e-06
2018-07-27,1.7636428947081934e-07
2018-08-03,3.83716614759387e-07
2018-08-10,9.400582989144488e-07
2018-08-17,3.665123485360202e-06
2018-08-24,5.491769167294131e-08
2018-08-31,7.197727167057377e-07
2018-09-07,3.2347662619255486e-07
2018-09-14,6.089766461628104e-07
2018-09-21,6.248256960330032e-07
2018-09-28,5.274106596116135e-07
2018-10-05,9.88813625687811e-07
2018-10-12,5.4513393129199634e-06
2018-10-19,2.818251075115394e-05
2018-10-26,3.356470795752093e-06
2018-11-02,3.590870986935211e-06
2018-11-09,3.653148380510832e-05
2018-11-16,1.8449752861931132e-06
2018-11-23,5.231680288068488e-07
2018-11-30,5.641950890916071e-06
2018-12-07,1.9998963216055762e-05
2018-12-14,8.957651174938716e-07
2018-12-21,2.196960050650199e-06
2018-12-28,1.2170386015588287e-05
2019-01-04,3.010494649355658e-06
2019-01-11,2.802132162462748e-05
2019-01-18,3.766949785954997e-05
2019-01-25,1.168798103169036e-06
2019-02-01,1.4392076318616931e-06
2019-02-08,6.379522605444937e-06
2019-02-15,2.3618733733082087e-06
2019-02-22,1.1606026410912533e-07
2019-03-01,4.0032437935427165e-05
2019-03-08,6.379267437558225e-06
2019-03-15,3.764712577878558e-05
2019-03-22,1.5528410595729936e-06
2019-03-29,3.6685603348301992e-06
2019-04-05,1.4174598526091152e-06
2019-04-12,1.0569687071595788e-06
2019-04-26,4.002661575819272e-05
2019-05-03,1.1291451068617248e-06
2019-05-10,2.0338388657939834e-05
2019-05-17,9.595017454886228e-07
2019-05-24,1.1977904723316625e-06
2019-05-31,4.002001753820365e-05
2019-06-07,3.929160566326401e-05
2019-06-14,9.926888045549619e-07
2019-06-21,1.4341516782938085e-07
2019-06-28,1.1213379807524796e-05
2019-07-05,4.4361560288562205e-07
2019-07-12,1.1889384620960477e-05
2019-07-19,3.012944872067439e-06
2019-07-26,2.337487446073053e-05
2019-08-02,1.194714037764344e-06
2019-08-09,4.220255445000503e-06
2019-08-16,2.1879972200574785e-06
2019-08-23,2.9629482266757898e-05
2019-08-30,1.1857488431004646e-06
2019-09-06,1.671583964883011e-05
2019-09-13,8.63056281131788e-08
2019-09-20,7.660355433303764e-07
2019-09-27,1.410330573323662e-06
2019-10-04,3.0004950060607448e-06
2019-10-11,1.0274204554360285e-05
2019-10-18,6.55620102667997e-06
2019-10-25,4.0072127675898625e-06
2019-11-01,5.338867198906763e-06
2019-11-08,1.2037384979858497e-05
2019-11-15,2.8548595712279415e-07
2019-11-22,4.633281629302789e-05
2019-11-29,1.6687390373720949e-06
2019-12-06,2.4673954461585274e-06
2019-12-13,3.0822457941687245e-06
2019-12-20,4.866385951710765e-05
2019-12-27,1.6251462599542736e-06
2020-01-03,3.764823554724941e-06
2020-01-10,2.8825231395920257e-05
2020-01-17,1.037812527598294e-07
2020-01-24,1.1745844023725682e-06
2020-01-31,3.841935873658059e-05
2020-02-07,7.308446395774663e-07
2020-02-14,1.9948165353072924e-06
2020-02-21,1.0306204042590073e-06
2020-02-28,1.2621219599653049e-06
2020-03-06,6.899327071791153e-06
2020-03-13,4.0005563602794637e-05
2020-03-20,7.966826335747103e-06
2020-03-27,1.2946024990585748e-05
2020-04-03,3.719511415503588e-07
2020-04-17,6.869687072612948e-06
2020-04-24,4.198707875467945e-06
2020-05-01,2.3727605931680963e-06
2020-05-08,5.643424826970234e-07
2020-05-15,3.0498408857951445e-06
2020-05-22,6.310701054489521e-06
2020-05-29,2.3908031717233436e-05
2020-06-05,5.876373819753453e-06
2020-06-12,5.354612058350949e-06
2020-06-19,3.846479449273037e-06
2020-06-26,9.106648682671111e-06
